City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,cidreira,-30.1811,-50.2056,62.96,55,98,15.52,BR,1691507057
112,bilibino,68.0546,166.4372,41.29,52,100,4.61,RU,1691507057
113,daru,-9.0763,143.2092,75.2,79,100,16.13,PG,1691507057
114,termoli,41.9888,14.9895,81.57,38,9,10.42,IT,1691507057
115,papatowai,-46.5619,169.4708,41.61,92,100,9.64,NZ,1691507057
116,laguna,38.421,-121.4238,71.31,76,0,9.22,US,1691507058
117,murghob,38.1702,73.9667,62.92,14,0,8.59,TJ,1691507058
118,marvejols,44.5538,3.2914,79.92,24,47,8.43,FR,1691507058
119,swainsboro,32.5974,-82.3337,87.69,89,0,6.91,US,1691506906
120,mugia,43.1041,-9.2179,81.91,70,0,10.58,ES,1691507058
121,sawakin,19.1059,37.3321,97.23,43,40,11.45,SD,1691507058
122,al wafrah,28.6392,47.9306,108.0,7,0,11.48,KW,1691507059
123,klyuchi,52.2667,79.1667,70.61,42,34,3.29,RU,1691507059
124,chui,-33.6971,-53.4616,57.92,59,0,10.33,UY,1691507059
125,sassandra,4.95,-6.0833,78.1,81,81,10.87,CI,1691507060
126,fort bragg,35.139,-79.006,84.2,70,0,12.66,US,1691507060
127,ziguinchor,12.5833,-16.2719,95.2,66,75,6.91,SN,1691507060
128,tolanaro,-25.0319,46.9987,73.47,78,75,18.41,MG,1691507061
129,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,93,0,2.24,RU,1691507061
130,ouro preto do oeste,-10.7481,-62.2158,98.87,23,0,4.61,BR,1691507061
131,dryden,49.7833,-92.7503,64.69,88,75,6.91,CA,1691507061
132,yibin,28.7667,104.6238,81.23,89,2,2.04,CN,1691507062
133,mount pearl,47.5166,-52.7813,60.85,89,100,13.8,CA,1691507062
134,awjilah,29.1081,21.2869,96.48,21,0,14.23,LY,1691507062
135,saint-pierre,-21.3393,55.4781,71.28,68,0,9.22,RE,1691507062
136,chul'man,56.8479,124.9104,58.3,80,91,1.74,RU,1691507062
137,whitehorse,60.7161,-135.0538,57.97,89,100,6.91,CA,1691506791
138,shenkursk,62.1091,42.896,72.75,57,0,5.64,RU,1691507063
139,bubaque,11.2833,-15.8333,81.75,79,42,6.96,GW,1691507063
140,fort mcmurray,56.7268,-111.381,53.19,93,0,5.75,CA,1691507063
141,pandan,14.0453,124.1694,82.45,80,61,6.76,PH,1691507063
142,maihar,24.2667,80.75,79.34,74,100,8.16,IN,1691507063
143,dakhla,23.6848,-15.958,77.02,69,4,18.41,EH,1691507063
144,badiyah,22.45,58.8,97.93,25,96,14.67,OM,1691507064
145,al jawf,29.5,38.75,100.02,10,0,18.3,SA,1691507064
146,inhambane,-23.865,35.3833,70.68,63,0,12.01,MZ,1691507064
147,lompoc,34.6391,-120.4579,63.79,79,40,0.0,US,1691507064
148,zeya,53.75,127.2667,66.9,49,100,3.09,RU,1691507065
149,barstow,34.8986,-117.0228,79.79,20,0,8.84,US,1691507065
150,ribeira grande,38.5167,-28.7,77.4,73,40,11.01,PT,1691507065
151,chaeryong-up,38.3992,125.6156,74.66,84,0,3.4,KP,1691507065
152,northam,51.0333,-4.2167,66.65,97,100,14.9,GB,1691507066
153,nur-sultan,51.1801,71.446,76.95,29,0,13.42,KZ,1691506819
154,touros,-5.1989,-35.4608,84.69,59,54,15.14,BR,1691507066
155,port lincoln,-34.7333,135.8667,53.87,47,5,11.77,AU,1691507067
156,praia da vitoria,38.7333,-27.0667,79.05,73,40,5.97,PT,1691507067
157,boguchany,58.3814,97.4531,62.92,69,49,1.7,RU,1691507067
158,talnakh,69.4865,88.3972,67.21,58,87,1.57,RU,1691507069
159,pankovka,58.5,31.1999,73.6,49,29,8.75,RU,1691507070
160,sakakah,29.9697,40.2064,101.77,12,0,14.43,SA,1691507070
161,darwin,-12.4611,130.8418,75.18,73,0,8.05,AU,1691507070
